'y-axis saved as y
'x,216-1hr_Gd-Ru-Ge.xy,Ycalc,Diff
16.00736,549,567.120107,-18.1201071
16.01767,543,566.691432,-23.6914317
16.02798,654,566.26515,87.7348501
16.03829,545,565.841305,-20.841305
16.04859,566,565.42035,0.579650198
16.0589,569,565.001513,3.99848671
16.06921,613,564.585254,48.4147457
16.07952,551,564.171624,-13.1716237
16.08983,613,563.760674,49.2393257
16.10013,577,563.352856,13.6471439
16.11044,553,562.947434,-9.94743429
16.12075,592,562.544867,29.4551335
16.13106,583,562.145216,20.8547844
16.14137,591,561.748547,29.2514531
16.15167,555,561.35531,-6.35530979
16.16198,571,560.964812,10.035188
16.17229,537,560.577512,-23.5775122
16.1826,582,560.193489,21.8065105
16.19291,553,559.812827,-6.8128266
16.20321,552,559.435975,-7.43597502
16.21352,557,559.062294,-2.06229392
16.22383,520,558.692247,-38.6922474
16.23414,559,558.325937,0.674063207
16.24444,616,557.963819,58.0361809
16.25475,618,557.605303,60.3946966
16.26506,599,557.250863,41.7491373
16.27537,532,556.900623,-24.9006232
16.28568,549,556.554718,-7.55471849
16.29598,570,556.21362,13.7863803
16.30629,583,555.876814,27.1231859
16.3166,535,555.544795,-20.5447952
16.32691,572,555.217733,16.7822669
16.33722,553,554.895809,-1.89580892
16.34752,561,554.579521,6.42047921
16.35783,591,554.26846,36.7315403
16.36814,569,553.963156,15.0368438
16.37845,546,553.663846,-7.66384585
16.38876,550,553.370781,-3.37078098
16.39906,591,553.084507,37.9154929
16.40937,570,552.804757,17.1952432
16.41968,577,552.532123,24.4678774
16.42999,586,552.266938,33.7330622
16.4403,586,552.00956,33.9904396
16.4506,531,551.760613,-20.7606126
16.46091,546,551.520021,-5.52002146
16.47122,530,551.288475,-21.2884751
16.48153,548,551.066447,-3.06644676
16.49183,569,550.854645,18.1453554
16.50214,562,550.653197,11.3468033
16.51245,539,550.462892,-11.4628919
16.52276,531,550.284345,-19.284345
16.53307,527,550.118208,-23.1182084
16.54337,524,549.965316,-25.9653155
16.55368,543,549.826095,-6.82609455
16.56399,551,549.701465,1.29853481
16.5743,527,549.592225,-22.5922249
16.58461,575,549.499201,25.5007987
16.59491,482,549.423314,-67.423314
16.60522,556,549.365285,6.63471547
16.61553,505,549.32608,-44.3260795
16.62584,502,549.306583,-47.3065834
16.63615,559,549.307669,9.69233057
16.64645,493,549.330155,-56.330155
16.65676,574,549.374886,24.6251143
16.66707,514,549.442597,-35.4425966
16.67738,530,549.533949,-19.5339493
16.68768,544,549.649376,-5.64937572
16.69799,507,549.789516,-42.7895158
16.7083,547,549.954528,-2.95452774
16.71861,543,550.144473,-7.14447349
16.72892,518,550.359188,-32.3591879
16.73922,488,550.598003,-62.598003
16.74953,452,550.860658,-98.8606575
16.75984,519,551.145881,-32.1458814
16.77015,500,551.452259,-51.4522592
16.78046,530,551.77798,-21.7779804
16.79076,562,552.120471,9.87952887
16.80107,562,552.477713,9.52228734
16.81138,517,552.846229,-35.8462286
16.82169,542,553.222383,-11.2223826
16.832,527,553.602047,-26.6020472
16.8423,555,553.980239,1.01976057
16.85261,515,554.352601,-39.352601
16.86292,517,554.713204,-37.7132045
16.87323,535,555.05606,-20.0560597
16.88353,487,555.374487,-68.3744865
16.89384,533,555.662389,-22.6623885
16.90415,501,555.912437,-54.9124372
16.91446,487,556.117418,-69.1174175
16.92477,570,556.269984,13.7300155
16.93507,493,556.362689,-63.3626889
16.94538,550,556.388395,-6.38839519
16.95569,506,556.339807,-50.3398067
16.966,524,556.210018,-32.2100177
16.97631,490,555.992501,-65.9925007
16.98661,521,555.681563,-34.6815634
16.99692,515,555.271194,-40.2711944
17.00723,545,554.756941,-9.75694098
17.01754,525,554.134938,-29.1349385
17.02785,502,553.402268,-51.4022678
17.03815,512,552.557922,-40.557922
17.04846,503,551.599537,-48.5995366
17.05877,482,550.52833,-68.5283303
17.06908,521,549.346015,-28.346015
17.07938,506,548.056868,-42.056868
17.08969,495,546.662634,-51.6626337
17.1,557,545.169946,11.8300543
17.11031,498,543.585365,-45.5853646
17.12062,537,541.916452,-4.91645201
17.13092,483,540.173346,-57.1733461
17.14123,475,538.361771,-63.3617707
17.15154,470,536.492997,-66.4929971
17.16185,476,534.576981,-58.5769808
17.17216,552,532.623839,19.3761606
17.18246,525,530.645619,-5.64561931
17.19277,517,528.64844,-11.6484403
17.20308,507,526.643893,-19.6438926
17.21339,504,524.641257,-20.6412572
17.2237,557,522.649314,34.350686
17.234,579,520.678161,58.3218391
17.24431,550,518.731503,31.2684975
17.25462,537,516.8181,20.1819003
17.26493,511,514.944045,-3.94404454
17.27524,502,513.114662,-11.1146621
17.28554,561,511.336205,49.6637947
17.29585,543,509.608986,33.3910142
17.30616,570,507.937773,62.062227
17.31647,565,506.324847,58.675153
17.32677,629,504.773268,124.226732
17.33708,636,503.280937,132.719063
17.34739,694,501.849704,192.150296
17.3577,657,500.479324,156.520676
17.36801,599,499.169055,99.8309452
17.37831,647,497.9189,149.0811
17.38862,665,496.724863,168.275137
17.39893,630,495.586305,134.413695
17.40924,687,494.50108,192.49892
17.41955,624,493.466833,130.533167
17.42985,597,492.481993,104.518007
17.44016,648,491.542029,156.457971
17.45047,646,490.645244,155.354756
17.46078,596,489.788937,106.211063
17.47109,557,488.970417,68.0295831
17.48139,588,488.187779,99.8122214
17.4917,579,487.436916,91.5630844
17.50201,548,486.716106,61.2838936
17.51232,591,486.022953,104.977047
17.52262,573,485.35581,87.6441901
17.53293,529,484.711219,44.2887815
17.54324,596,484.087807,111.912193
17.55355,519,483.483675,35.5163251
17.56386,518,482.897051,35.1029491
17.57416,525,482.326843,42.6731572
17.58447,563,481.77043,81.2295696
17.59478,536,481.226986,54.7730142
17.60509,496,480.695237,15.3047633
17.6154,505,480.174023,24.8259774
17.6257,550,479.662781,70.3372193
17.63601,452,479.159561,-27.1595614
17.64632,497,478.664001,18.3359992
17.65663,494,478.175319,15.8246813
17.66694,536,477.692813,58.3071866
17.67724,505,477.216315,27.7836848
17.68755,469,476.744335,-7.74433467
17.69786,485,476.276833,8.72316697
17.70817,453,475.81336,-22.8133604
17.71847,496,475.353961,20.6460392
17.72878,494,474.897386,19.1026139
17.73909,507,474.443768,32.5562316
17.7494,471,473.992828,-2.99282789
17.75971,470,473.544317,-3.54431718
17.77001,462,473.09845,-11.0984498
